name_artist,gen_artist
Sergio Marini & Luke,[]
Makiko,[]
Naushad,['malayalam pop']
S27,[]
Emil Lundin,[]
Budapest Symphony Orchestra,"['classical', 'orchestra']"
Red Titanic,['comedy']
Darrell Scott,"['bluegrass', 'newgrass', 'americana', 'alt country']"
Antonis Lavidas-klarino,[]
Group Home,"['east coast hip hop', 'boom bap']"
Michele Campanella,"['classical piano', 'classical']"
3X Krazy,"['g-funk', 'west coast hip hop', 'hyphy']"
Sharma,['haryanvi pop']
Donald Shoenberg,['christmas']
Stavros Tzouanakos,['laïko']
Chandler Moore,"['worship', 'gospel', 'christian']"
Eddy Raven,['traditional country']
Jin Hashimoto,['anime']
Edlington,[]
Lordchain,"['melodic metal', 'christian rock', 'speed metal']"
On the Town Orchestra (1960),[]
Gravy Baby,['meme rap']
Johnny Burnette & The Rock N Roll Trio,"['rockabilly', 'rock and roll', 'psychobilly']"
Johnny Prez,['reggaeton']
Robert Mersey,[]
Maria Karnilova,['musicals']
Iqbal Bibi,[]
Indrani Sen,['bangla pop']
Benny Goodman,"['big band', 'swing music', 'jazz', 'ragtime']"
Jarmila Novotna,[]
Paul Soles,['christmas']
Gustav Mahler,"['classical', 'orchestra']"
Hungarian State Opera Chorus,"['opera', 'requiem', 'classical']"
The New Symphony Orchestra Of London,"['opera', 'classical']"
T99,['dansktop']
Linda Lyndell,['northern soul']
Orquesta Eddy Gaytán,[]
Amy Grant,"['christmas', 'ccm', 'christian']"
Counting Crows,[]
Bea Miller,[]
Alfredo Arroyo,[]
Nella Colombo,[]
Baybe,[]
Shinedown,"['post-grunge', 'alternative metal', 'rock', 'acoustic rock']"
Ricky Desktop,[]
Mariano Mores,['tango']
Berlin Motet Choir,[]
Big Tymers,"['southern hip hop', 'crunk']"
Arthur Verocai,"['brazilian jazz', 'bossa nova']"
Mikas,"['kizomba', 'zouk']"
Peter Gennaro,[]
Josh LaMere,[]
Bob Seger & The Last Heard,[]
Jimmy Durante,"['adult standards', 'big band']"
Moreira Da Silva,"['samba', 'seresta']"
Zola Bryon,['darkwave']
pan-pipes,[]
Friend & Lover,[]
Marilyn Cooper,['musicals']
Mohantara,[]
Hagood Hardy,[]
Joseph Szigeti,['chamber music']
Maria Healy,"['trance', 'progressive trance']"
Kolja Blacher,['classical']
LÉON,"['banda', 'norteño', 'sierreño', 'corrido', 'grupera', 'ranchera', 'sad sierreño', 'música mexicana']"
BONES,"['dark trap', 'cloud rap', 'emo rap', 'horrorcore', 'punk rap', 'underground hip hop']"
Plain White Ts,[]
Lina Termini,[]
The Barbarians,[]
Ernestine Anderson,"['vocal jazz', 'jazz']"
Tim Blake Nelson,[]
Billy Dalessandro,['minimal techno']
Street Scene Enesemble,[]
Stan Marsh,[]
Bogdan Vix,"['trance', 'progressive trance']"
Skeletal Family,"['deathrock', 'post-punk', 'darkwave', 'cold wave']"
Doris Day with orchestra conducted by Robert Mersey,[]
Jo-El Sonnier,[]
The Motels,['new wave']
Tomine Harket,[]
Max Casella,['musicals']
Ill Al Skratch,"['east coast hip hop', 'boom bap']"
James Ramsey Murray,[]
SS-Say,[]
Nohidea,"['lo-fi', 'lo-fi beats', 'j-dance']"
Wah!,[]
Arditti Quartet,"['chamber music', 'avant-garde']"
SongsToWearPantsTo,[]
Cool C,"['west coast hip hop', 'g-funk']"
Steven Curtis Chapman,"['ccm', 'christian', 'pop worship', 'christian pop']"
Zee,[]
Marcos Witt,"['christian', 'worship']"
Clifton Davis,['musicals']
Bappi Lahiri,"['bollywood', 'bangla pop', 'hindi pop', 'desi']"
Saosin,"['post-hardcore', 'screamo', 'emo', 'emocore', 'emo pop']"
Simon Posford,['psytrance']
King Kobra,"['album rock', 'glam metal', 'arena rock', 'glam rock', 'hard rock']"
The Wrecks,[]
SEBASTIAN PAUL,[]
Sinisa Tamamovic,"['minimal techno', 'tech house', 'techno']"
Eric William Barnum,['choral']
Elvira Nte Intalgko,[]
Water Gun Water Gun Sky Attack,"['idm', 'glitch']"
Luke Benward,[]
APEK,"['pinoy hip hop', 'pinoy r&b', 'opm']"
Κούλα Νικολαϊδου,['laïko']
Lee Sun Hee,['k-ballad']
Covered Wagon Musicians,[]
Vishal Dadlani,"['bollywood', 'desi', 'hindi pop', 'desi pop']"
Klarino-Antonis Lavidas,[]
Looser,['alternative hip hop']
Aschberger Saitenmusi,[]
Los Bukis,['grupera']
First Aid Kit,"['indie folk', 'folk']"
Bossanova,['bossa nova']
Harry James & Harry James Orchestra,"['big band', 'swing music', 'jazz']"
Andrew Rayel,"['trance', 'progressive trance']"
Frink,"['dub techno', 'deep house', 'minimal techno']"
DJ Cam,"['nu jazz', 'jazz rap', 'acid jazz', 'jazz beats']"
Cecilia Bartoli,"['opera', 'classical']"
Avant,"['power metal', 'symphonic metal', 'melodic metal', 'metal']"
Frankie Trumbauer & His Orchestra,"['ragtime', 'jazz']"
Ten Ven,[]
